pc	sdev
1	17.9817165416713
2	14.8102199331589
3	9.38925707266442
4	6.76448353348864
5	5.6310809689587
6	5.47448864412616
7	5.34483167214013
8	5.1947838746463
9	5.14429005935828
10	4.98410353275735
11	4.96931286746739
12	4.95846578674912
13	4.84392383655018
14	4.79097776555532
15	4.74727948961806
16	4.67266868901519
17	4.54868069953479
18	4.50990059910295
19	4.49394353903573
20	4.44208349960902
21	4.41869244260301
22	4.41231311430209
23	4.36898972743849
24	4.35317140924816
25	4.33325659651501
26	4.32335662650868
27	4.30063165451378
28	4.29154031791388
29	4.26305631095572
30	4.25873452976687
31	4.23107015781859
32	4.2119174039139
33	4.19866831455092
34	4.18420399215681
35	4.16818339268261
36	4.151094931211
37	4.14641234177085
38	4.13533150748869
39	4.13242023505318
40	4.12076474662947
41	4.10965686589142
42	4.10441326605683
43	4.09893267065303
44	4.0900943214394
45	4.08753440273053
46	4.08096026736672
47	4.07673120257625
48	4.07210270586474
49	4.06447194347562
50	4.05761285749398
51	4.05601521699599
52	4.04787486164995
53	4.04089393253829
54	4.03828708368273
55	4.03543886838725
56	4.03216643137347
57	4.03000476197299
58	4.02385381680171
59	4.01953773881546
60	4.01725910833318
61	4.01330918667291
62	4.00721704775138
63	4.0062111456884
64	4.00059964636821
65	3.99275819512992
66	3.99017178744145
67	3.98838926581196
68	3.98552999516649
69	3.97954537049243
70	3.97743410131481
71	3.97547246821667
72	3.9745463882278
73	3.97082895144817
74	3.96908026329302
75	3.96708189814699
76	3.96362730612131
77	3.96106528037626
78	3.95907653685051
79	3.95706181322682
80	3.95386973447684
81	3.95040626377437
82	3.94863654655275
83	3.94502475747131
84	3.94274465866874
85	3.94023585509665
86	3.93778422509026
87	3.93713165540752
88	3.93399527599621
89	3.93272226145291
90	3.92952679074802
91	3.92855044242383
92	3.9259462937146
93	3.92073488971759
94	3.91763034380708
95	3.91585983688678
96	3.91298111205329
97	3.91170384858733
98	3.91024348593083
99	3.90701115915605
100	3.90425329961187
101	3.90347799414354
102	3.90205703982318
103	3.9006037031648
104	3.89971882979238
105	3.89599950583145
106	3.89481675040631
107	3.89259683818816
108	3.89139163262202
109	3.88924112143771
110	3.88717371715988
111	3.88415405312896
112	3.88359847509246
113	3.88231648184516
114	3.88178432992371
115	3.87962894445794
116	3.87686328235942
117	3.87493570061694
118	3.87240617742347
119	3.87126242633338
120	3.87026273358247
121	3.86773898000324
122	3.8660924481892
123	3.86556495616937
124	3.86247744993573
125	3.8603515499055
126	3.85826812135322
127	3.85770731370836
128	3.85682556826391
129	3.85497849461288
130	3.85319636703345
131	3.85134213920047
132	3.84847375156863
133	3.84667337247734
134	3.84507463901326
135	3.84401722126419
136	3.84152090090296
137	3.83972514603572
138	3.83953007686969
139	3.83895161913522
140	3.83599529317922
141	3.8350810417031
142	3.83433935465879
143	3.83237575905865
144	3.83219580364783
145	3.82828974223196
146	3.82804065754954
147	3.82706529457267
148	3.8253242607647
149	3.82504203245631
150	3.82374991242288
151	3.82139088394732
152	3.81953579886591
153	3.81797133496958
154	3.81656629523691
155	3.81448463100748
156	3.81351447794112
157	3.81297075359275
158	3.81091244997696
159	3.80973677989745
160	3.80903023807262
161	3.80740003615958
162	3.80578855832285
163	3.80454234648287
164	3.80252714034467
165	3.80108665121309
166	3.80081582005526
167	3.79899223268828
168	3.79778131843076
169	3.79670353626304
170	3.79518618469021
171	3.79423462001561
172	3.79350815325887
173	3.79066632287066
174	3.78960924346253
175	3.78773802113924
176	3.7868281260103
177	3.78556080990314
178	3.78408481160625
179	3.78332285042201
180	3.7819596679562
181	3.78081436226412
182	3.78035572526333
183	3.77857704110328
184	3.77747568008142
185	3.77661263075153
186	3.77610805027127
187	3.77457840856862
188	3.77431506646811
189	3.77273777961431
190	3.77169376294709
191	3.77093545277838
192	3.76874945449678
193	3.76747444474163
194	3.76656358702437
195	3.76473509667472
196	3.76245986152257
197	3.76153863243224
198	3.76028339208732
199	3.75889586827398
200	3.75789810132512
201	3.75773564102205
202	3.75589133500908
203	3.7550120923163
204	3.75300894990305
205	3.75152868785252
206	3.75045237755292
207	3.74869251650862
208	3.74774228166746
209	3.74666455665975
210	3.74556502227651
211	3.74419619753056
212	3.74289296349931
213	3.74256957862654
214	3.74173743740301
215	3.74156951885503
216	3.73981141667275
217	3.73943021451588
218	3.73829409556405
219	3.73662059855954
220	3.73604243378029
221	3.73574551748196
222	3.7346701588329
223	3.73281792131655
224	3.73125117758813
225	3.72934267167735
226	3.72754263027001
227	3.72665866362474
228	3.72643109130293
229	3.72603358773555
230	3.72419840682363
231	3.72338343606275
232	3.72231849927496
233	3.72103453077732
234	3.72060273423022
235	3.71917909889734
236	3.71839294374951
237	3.71738597275254
238	3.71553511580758
239	3.71412397346177
240	3.71321243504492
241	3.71253709435413
242	3.7107439305292
243	3.70998386885021
244	3.70951466247083
245	3.70873795883493
246	3.7083942132618
247	3.70710323941951
248	3.70577531123167
249	3.70447164067017
250	3.70321216894976
251	3.7028395924062
252	3.70229621437301
253	3.70059811876544
254	3.69876367936066
255	3.69787919434506
256	3.69651880456512
257	3.6964497706246
258	3.69520377027249
259	3.69498974743929
260	3.6925949409614
261	3.69219965279193
262	3.69126366977555
263	3.69045978381457
264	3.6898911589884
265	3.68884233360064
266	3.68804075083783
267	3.68655504501087
268	3.68590897941041
269	3.68461497688874
270	3.68325090474074
271	3.68214556326871
272	3.68200956630503
273	3.68121021396726
274	3.68011815702765
275	3.67893879892338
276	3.67790544249351
