entity:pedigree_id	FamilyID	FatherID	MotherID	Population	Sex	Superpopulation
HG03438	SL56	HG03469	HG03470	MSL	2	AFR
HG03439	SL46	0	0	MSL	1	AFR
HG03442	HG03442	0	0	MSL	1	AFR
HG03445	HG03445	0	0	MSL	1	AFR
HG03446	HG03446	0	0	MSL	2	AFR
HG03449	SL49	0	0	MSL	2	AFR
HG03451	SL50	HG03466	0	MSL	1	AFR
HG03452	SL50	0	0	MSL	2	AFR
HG03453	SL50	HG03451	HG03452	MSL	2	AFR
HG03454	SL51	0	0	MSL	1	AFR
HG03455	SL51	0	0	MSL	2	AFR
HG03456	SL51	HG03454	HG03455	MSL	1	AFR
HG03457	HG03457	0	0	MSL	1	AFR
HG03458	SL52	0	0	MSL	2	AFR
HG03460	HG03460	0	0	MSL	1	AFR
HG03461	HG03461	0	0	MSL	2	AFR
HG03464	SL54	0	0	MSL	2	AFR
HG03469	SL56i	0	0	MSL	1	AFR
HG03470	SL56	0	0	MSL	2	AFR
HG03472	HG03472	0	0	MSL	1	AFR
HG03473	SL57	0	0	MSL	2	AFR
HG03476	SL58	0	0	MSL	2	AFR
HG03478	SL59	0	0	MSL	1	AFR
HG03479	SL59	0	0	MSL	2	AFR
HG03480	SL59	HG03478	HG03479	MSL	2	AFR
HG03484	SL61	0	0	MSL	1	AFR
HG03485	SL61	0	0	MSL	2	AFR
HG03486	SL61	HG03484	HG03485	MSL	2	AFR
HG03487	PK42	0	0	PJL	1	SAS
HG03488	PK42	0	0	PJL	2	SAS
HG03489	PK42	HG03487	HG03488	PJL	1	SAS
HG03490	PK43	0	0	PJL	1	SAS
HG03491	PK43	0	0	PJL	2	SAS
HG03492	PK43	HG03490	HG03491	PJL	1	SAS
HG03499	NG102	0	0	ESN	2	AFR
HG03511	NG106	0	0	ESN	2	AFR
HG03514	NG107	0	0	ESN	2	AFR
HG03515	NG107	0	0	ESN	1	AFR
HG03516	NG107	HG03515	HG03514	ESN	2	AFR
HG03517	NG108	0	0	ESN	2	AFR
HG03518	NG108	0	0	ESN	1	AFR
HG03519	NG108	HG03518	HG03517	ESN	1	AFR
HG03520	NG109	0	0	ESN	2	AFR
HG03521	NG109	0	0	ESN	1	AFR
HG03522	NG109	HG03521	HG03520	ESN	2	AFR
HG03538	GB125	0	0	GWD	1	AFR
HG03539	GB125	0	0	GWD	2	AFR
HG03540	GB125	HG03538	HG03539	GWD	2	AFR
HG03547	HG03547	0	0	MSL	1	AFR
HG03548	HG03548	0	0	MSL	2	AFR
HG03556	HG03556	0	0	MSL	1	AFR
