entity:pedigree_id Population Sex Superpopulation
HG01977 PEL 1 AMR
HG01978 PEL 2 AMR
HG01979 PEL 1 AMR
HG01980 PEL 2 AMR
HG01981 PEL 2 AMR
HG01982 PEL 1 AMR
HG01983 PEL 2 AMR
HG01984 PEL 1 AMR
HG01985 ACB 2 AFR
HG01986 ACB 1 AFR
HG01987 ACB 1 AFR
HG01988 ACB 1 AFR
HG01989 ACB 2 AFR
HG01990 ACB 1 AFR
HG01991 PEL 1 AMR
HG01992 PEL 2 AMR
HG01993 PEL 2 AMR
HG01997 PEL 2 AMR
HG01998 PEL 1 AMR
HG02002 PEL 1 AMR
HG02003 PEL 2 AMR
HG02004 PEL 2 AMR
HG02006 PEL 2 AMR
HG02008 PEL 1 AMR
HG02009 ACB 1 AFR
HG02010 ACB 2 AFR
HG02011 ACB 1 AFR
HG02012 ACB 2 AFR
HG02013 ACB 1 AFR
HG02014 ACB 1 AFR
HG02015 KHV 1 EAS
HG02016 KHV 2 EAS
HG02017 KHV 1 EAS
HG02018 KHV 2 EAS
HG02019 KHV 2 EAS
HG02020 KHV 1 EAS
HG02023 KHV 1 EAS
HG02024 KHV 2 EAS
HG02025 KHV 2 EAS
HG02026 KHV 1 EAS
HG02027 KHV 1 EAS
HG02028 KHV 2 EAS
HG02029 KHV 1 EAS
HG02030 KHV 1 EAS
HG02031 KHV 2 EAS
HG02032 KHV 1 EAS
HG02035 KHV 1 EAS
HG02040 KHV 1 EAS
HG02047 KHV 1 EAS
HG02048 KHV 2 EAS
HG02049 KHV 2 EAS
HG02050 KHV 1 EAS
HG02051 ACB 1 AFR
HG02052 ACB 2 AFR
HG02053 ACB 1 AFR
HG02054 ACB 2 AFR
HG02055 ACB 1 AFR
HG02056 KHV 1 EAS
HG02057 KHV 2 EAS
HG02058 KHV 1 EAS
HG02059 KHV 2 EAS
HG02060 KHV 2 EAS
HG02061 KHV 1 EAS
HG02064 KHV 1 EAS
HG02067 KHV 1 EAS
HG02068 KHV 2 EAS
HG02069 KHV 2 EAS
HG02070 KHV 1 EAS
HG02071 KHV 1 EAS
HG02072 KHV 2 EAS
HG02073 KHV 1 EAS
HG02074 KHV 1 EAS
HG02075 KHV 2 EAS
HG02076 KHV 1 EAS
HG02077 KHV 1 EAS
HG02078 KHV 2 EAS
HG02079 KHV 1 EAS
HG02080 KHV 2 EAS
HG02081 KHV 2 EAS
HG02082 KHV 1 EAS
HG02083 KHV 1 EAS
HG02084 KHV 2 EAS
HG02085 KHV 1 EAS
HG02086 KHV 2 EAS
HG02087 KHV 2 EAS
HG02088 KHV 1 EAS
HG02089 PEL 2 AMR
HG02090 PEL 1 AMR
HG02091 PEL 2 AMR
HG02095 ACB 2 AFR
HG02102 PEL 2 AMR
HG02104 PEL 1 AMR
HG02105 PEL 2 AMR
HG02106 PEL 2 AMR
HG02107 ACB 1 AFR
HG02108 ACB 2 AFR
HG02111 ACB 2 AFR
HG02113 KHV 2 EAS
HG02116 KHV 1 EAS
HG02120 KHV 1 EAS
HG02121 KHV 2 EAS
HG02122 KHV 1 EAS
HG02126 KHV 2 EAS
HG02127 KHV 2 EAS
HG02128 KHV 1 EAS
HG02129 KHV 1 EAS
HG02130 KHV 2 EAS
HG02131 KHV 1 EAS
HG02132 KHV 1 EAS
HG02133 KHV 2 EAS
HG02134 KHV 1 EAS
HG02135 KHV 1 EAS
HG02136 KHV 2 EAS
HG02137 KHV 1 EAS
HG02138 KHV 1 EAS
HG02139 KHV 2 EAS
HG02140 KHV 2 EAS
HG02141 KHV 1 EAS
HG02142 KHV 2 EAS
HG02143 ACB 1 AFR
HG02144 ACB 2 AFR
HG02145 ACB 1 AFR
HG02146 PEL 1 AMR
HG02147 PEL 2 AMR
HG02148 PEL 2 AMR
HG02150 PEL 1 AMR
HG02151 CDX 2 EAS
HG02152 CDX 2 EAS
HG02153 CDX 2 EAS
HG02154 CDX 2 EAS
HG02155 CDX 2 EAS
HG02156 CDX 2 EAS
HG02164 CDX 2 EAS
HG02165 CDX 2 EAS
HG02166 CDX 2 EAS
HG02178 CDX 2 EAS
HG02179 CDX 2 EAS
HG02180 CDX 2 EAS
HG02181 CDX 2 EAS
HG02182 CDX 2 EAS
HG02184 CDX 2 EAS
HG02185 CDX 2 EAS
HG02186 CDX 2 EAS
HG02187 CDX 2 EAS
HG02188 CDX 2 EAS
HG02190 CDX 2 EAS
HG02215 GBR 2 EUR
HG02219 IBS 1 EUR
HG02220 IBS 2 EUR
HG02221 IBS 1 EUR
HG02222 IBS 2 EUR
HG02223 IBS 2 EUR
HG02224 IBS 1 EUR
HG02225 IBS 2 EUR
HG02229 IBS 2 EUR
HG02230 IBS 2 EUR
HG02231 IBS 1 EUR
HG02232 IBS 2 EUR
HG02233 IBS 1 EUR
HG02234 IBS 1 EUR
HG02235 IBS 2 EUR
HG02236 IBS 1 EUR
HG02237 IBS 2 EUR
HG02238 IBS 1 EUR
HG02239 IBS 2 EUR
HG02240 IBS 2 EUR
HG02250 CDX 1 EAS
HG02252 PEL 2 AMR
HG02253 PEL 1 AMR
HG02255 ACB 1 AFR
HG02256 ACB 2 AFR
HG02257 ACB 2 AFR
HG02258 ACB 1 AFR
HG02259 PEL 1 AMR
HG02260 PEL 2 AMR
HG02261 PEL 1 AMR
HG02262 PEL 1 AMR
HG02265 PEL 1 AMR
HG02266 PEL 2 AMR
HG02271 PEL 1 AMR
HG02272 PEL 2 AMR
HG02273 PEL 2 AMR
HG02274 PEL 1 AMR
HG02275 PEL 2 AMR
HG02277 PEL 1 AMR
HG02278 PEL 2 AMR
HG02279 PEL 1 AMR
HG02280 ACB 2 AFR
HG02281 ACB 1 AFR
HG02282 ACB 2 AFR
HG02283 ACB 1 AFR
HG02284 ACB 1 AFR
HG02285 PEL 1 AMR
HG02286 PEL 2 AMR
HG02287 PEL 2 AMR
HG02291 PEL 1 AMR
HG02292 PEL 2 AMR
HG02293 PEL 2 AMR
HG02298 PEL 2 AMR
HG02299 PEL 1 AMR
HG02300 PEL 1 AMR
HG02301 PEL 2 AMR
HG02302 PEL 1 AMR
HG02303 PEL 2 AMR
HG02304 PEL 1 AMR
HG02307 ACB 1 AFR
HG02308 ACB 2 AFR
HG02309 ACB 2 AFR
HG02312 PEL 2 AMR
HG02314 ACB 1 AFR
HG02315 ACB 2 AFR
HG02316 ACB 1 AFR
HG02317 ACB 1 AFR
HG02318 ACB 2 AFR
HG02321 ACB 2 AFR
HG02322 ACB 2 AFR
HG02323 ACB 1 AFR
HG02325 ACB 2 AFR
HG02330 ACB 1 AFR
HG02332 ACB 1 AFR
HG02334 ACB 1 AFR
HG02337 ACB 2 AFR
HG02339 ACB 2 AFR
HG02343 ACB 1 AFR
HG02345 PEL 2 AMR
HG02348 PEL 2 AMR
HG02351 CDX 1 EAS
HG02353 CDX 1 EAS
HG02355 CDX 1 EAS
HG02356 CDX 1 EAS
HG02360 CDX 1 EAS
HG02364 CDX 1 EAS
HG02367 CDX 1 EAS
HG02371 CDX 1 EAS
HG02373 CDX 1 EAS
HG02374 CDX 1 EAS
HG02375 CDX 1 EAS
HG02379 CDX 1 EAS
HG02380 CDX 1 EAS
HG02382 CDX 1 EAS
HG02383 CDX 1 EAS
HG02384 CDX 1 EAS
HG02385 CDX 1 EAS
HG02386 CDX 1 EAS
HG02389 CDX 1 EAS
HG02390 CDX 1 EAS
HG02391 CDX 1 EAS
HG02392 CDX 1 EAS
HG02394 CDX 1 EAS
HG02395 CDX 1 EAS
HG02396 CDX 1 EAS
HG02397 CDX 1 EAS
HG02398 CDX 1 EAS
HG02399 CDX 1 EAS
HG02401 CDX 1 EAS
HG02402 CDX 1 EAS
HG02406 CDX 1 EAS
HG02407 CDX 1 EAS
HG02408 CDX 1 EAS
HG02409 CDX 1 EAS
HG02410 CDX 1 EAS
HG02419 ACB 2 AFR
HG02420 ACB 1 AFR
HG02425 PEL 2 AMR
HG02427 ACB 2 AFR
HG02429 ACB 1 AFR
HG02433 ACB 1 AFR
HG02439 ACB 1 AFR
HG02442 ACB 1 AFR
HG02445 ACB 1 AFR
HG02449 ACB 1 AFR
HG02450 ACB 2 AFR
HG02451 ACB 2 AFR
HG02455 ACB 1 AFR
HG02461 GWD 1 AFR
HG02462 GWD 2 AFR
HG02463 GWD 1 AFR
HG02464 GWD 1 AFR
HG02465 GWD 2 AFR
HG02466 GWD 1 AFR
HG02470 ACB 1 AFR
HG02471 ACB 2 AFR
HG02476 ACB 2 AFR
HG02477 ACB 2 AFR
HG02479 ACB 2 AFR
HG02481 ACB 1 AFR
HG02484 ACB 1 AFR
HG02485 ACB 2 AFR
HG02489 ACB 1 AFR
HG02490 PJL 1 SAS
HG02491 PJL 2 SAS
HG02492 PJL 1 SAS
HG02493 PJL 1 SAS
HG02494 PJL 2 SAS
HG02495 PJL 2 SAS
HG02496 ACB 1 AFR
HG02497 ACB 2 AFR
HG02501 ACB 1 AFR
HG02502 ACB 2 AFR
HG02505 ACB 2 AFR
HG02508 ACB 2 AFR
HG02511 ACB 2 AFR
HG02512 KHV 1 EAS
HG02513 KHV 2 EAS
HG02514 KHV 1 EAS
HG02521 KHV 1 EAS
HG02522 KHV 2 EAS
HG02523 KHV 2 EAS
HG02524 KHV 1 EAS
HG02525 KHV 2 EAS
HG02526 KHV 2 EAS
HG02536 ACB 1 AFR
HG02537 ACB 2 AFR
HG02541 ACB 1 AFR
HG02545 ACB 1 AFR
HG02546 ACB 2 AFR
HG02549 ACB 2 AFR
HG02554 ACB 1 AFR
HG02555 ACB 2 AFR
HG02557 ACB 1 AFR
HG02558 ACB 2 AFR
HG02561 GWD 1 AFR
HG02562 GWD 2 AFR
HG02563 GWD 1 AFR
HG02568 GWD 2 AFR
HG02569 GWD 1 AFR
HG02570 GWD 1 AFR
HG02571 GWD 2 AFR
HG02572 GWD 1 AFR
HG02573 GWD 1 AFR
HG02574 GWD 2 AFR
HG02575 GWD 1 AFR
HG02577 ACB 2 AFR
HG02580 ACB 2 AFR
HG02582 GWD 1 AFR
HG02583 GWD 2 AFR
HG02584 GWD 1 AFR
HG02585 GWD 1 AFR
HG02586 GWD 2 AFR
HG02587 GWD 2 AFR
HG02588 GWD 1 AFR
HG02589 GWD 2 AFR
HG02590 GWD 1 AFR
HG02594 GWD 1 AFR
HG02595 GWD 2 AFR
HG02596 GWD 1 AFR
HG02597 PJL 1 SAS
HG02600 PJL 1 SAS
HG02601 PJL 2 SAS
HG02602 PJL 1 SAS
HG02603 PJL 1 SAS
HG02604 PJL 2 SAS
HG02605 PJL 2 SAS
HG02610 GWD 1 AFR
HG02611 GWD 2 AFR
HG02612 GWD 1 AFR
HG02613 GWD 1 AFR
HG02614 GWD 2 AFR
HG02615 GWD 2 AFR
HG02620 GWD 1 AFR
HG02621 GWD 2 AFR
HG02622 GWD 2 AFR
HG02623 GWD 1 AFR
HG02624 GWD 2 AFR
HG02625 GWD 1 AFR
HG02628 GWD 1 AFR
HG02629 GWD 2 AFR
HG02630 GWD 2 AFR
HG02634 GWD 1 AFR
HG02635 GWD 2 AFR
HG02636 GWD 1 AFR
HG02642 GWD 1 AFR
HG02643 GWD 2 AFR
HG02644 GWD 1 AFR
HG02645 GWD 1 AFR
HG02646 GWD 2 AFR
HG02647 GWD 1 AFR
HG02648 PJL 1 SAS
HG02649 PJL 2 SAS
HG02650 PJL 1 SAS
HG02651 PJL 1 SAS
HG02652 PJL 2 SAS
HG02653 PJL 2 SAS
HG02654 PJL 1 SAS
HG02655 PJL 2 SAS
HG02656 PJL 1 SAS
HG02657 PJL 1 SAS
HG02658 PJL 2 SAS
HG02659 PJL 2 SAS
HG02660 PJL 1 SAS
HG02661 PJL 2 SAS
HG02662 PJL 2 SAS
HG02666 GWD 1 AFR
HG02667 GWD 2 AFR
HG02668 GWD 1 AFR
HG02675 GWD 1 AFR
HG02676 GWD 2 AFR
HG02677 GWD 2 AFR
HG02678 GWD 1 AFR
HG02679 GWD 2 AFR
HG02680 GWD 2 AFR
HG02681 PJL 1 SAS
HG02682 PJL 2 SAS
HG02683 PJL 2 SAS
HG02684 PJL 1 SAS
HG02685 PJL 2 SAS
HG02686 PJL 1 SAS
HG02687 PJL 1 SAS
HG02688 PJL 2 SAS
HG02689 PJL 1 SAS
HG02690 PJL 1 SAS
HG02691 PJL 2 SAS
HG02692 PJL 2 SAS
HG02694 PJL 2 SAS
HG02696 PJL 1 SAS
HG02697 PJL 2 SAS
HG02698 PJL 1 SAS
HG02699 PJL 1 SAS
HG02700 PJL 2 SAS
HG02701 PJL 1 SAS
HG02702 GWD 1 AFR
HG02703 GWD 2 AFR
HG02704 GWD 2 AFR
HG02715 GWD 1 AFR
HG02716 GWD 2 AFR
HG02717 GWD 1 AFR
HG02721 GWD 1 AFR
HG02722 GWD 2 AFR
HG02723 GWD 2 AFR
HG02724 PJL 1 SAS
HG02725 PJL 2 SAS
HG02726 PJL 2 SAS
HG02727 PJL 1 SAS
HG02728 PJL 2 SAS
HG02729 PJL 1 SAS
HG02731 PJL 2 SAS
HG02733 PJL 1 SAS
HG02734 PJL 2 SAS
HG02735 PJL 1 SAS
HG02736 PJL 1 SAS
HG02737 PJL 2 SAS
HG02738 PJL 1 SAS
HG02756 GWD 1 AFR
HG02757 GWD 2 AFR
HG02759 GWD 1 AFR
HG02760 GWD 2 AFR
HG02761 GWD 2 AFR
HG02762 GWD 1 AFR
HG02763 GWD 2 AFR
HG02764 GWD 1 AFR
HG02768 GWD 1 AFR
HG02769 GWD 2 AFR
HG02770 GWD 2 AFR
HG02771 GWD 1 AFR
HG02772 GWD 2 AFR
HG02773 GWD 1 AFR
HG02774 PJL 1 SAS
HG02775 PJL 2 SAS
HG02776 PJL 2 SAS
HG02778 PJL 2 SAS
HG02780 PJL 1 SAS
HG02783 PJL 1 SAS
HG02784 PJL 2 SAS
HG02785 PJL 2 SAS
HG02786 PJL 1 SAS
HG02787 PJL 2 SAS
HG02788 PJL 2 SAS
HG02789 PJL 1 SAS
HG02790 PJL 2 SAS
HG02791 PJL 1 SAS
HG02792 PJL 1 SAS
HG02793 PJL 2 SAS
HG02794 PJL 1 SAS
HG02798 GWD 1 AFR
HG02799 GWD 2 AFR
HG02800 GWD 1 AFR
HG02804 GWD 1 AFR
HG02805 GWD 2 AFR
HG02806 GWD 2 AFR
HG02807 GWD 1 AFR
HG02808 GWD 2 AFR
HG02809 GWD 2 AFR
HG02810 GWD 1 AFR
HG02811 GWD 2 AFR
HG02812 GWD 1 AFR
HG02813 GWD 1 AFR
HG02814 GWD 2 AFR
HG02815 GWD 1 AFR
HG02816 GWD 1 AFR
HG02817 GWD 2 AFR
HG02818 GWD 2 AFR
HG02819 GWD 1 AFR
HG02820 GWD 2 AFR
HG02821 GWD 1 AFR
HG02836 GWD 1 AFR
HG02837 GWD 2 AFR
HG02838 GWD 1 AFR
HG02839 GWD 1 AFR
HG02840 GWD 2 AFR
HG02841 GWD 2 AFR
HG02851 GWD 1 AFR
HG02852 GWD 2 AFR
HG02853 GWD 1 AFR
HG02854 GWD 1 AFR
HG02855 GWD 2 AFR
HG02856 GWD 1 AFR
HG02860 GWD 1 AFR
HG02861 GWD 2 AFR
HG02862 GWD 2 AFR
HG02869 GWD 1 AFR
HG02870 GWD 2 AFR
HG02871 GWD 2 AFR
HG02878 GWD 1 AFR
HG02879 GWD 2 AFR
HG02880 GWD 2 AFR
HG02881 GWD 1 AFR
HG02882 GWD 2 AFR
HG02883 GWD 1 AFR
HG02884 GWD 1 AFR
HG02885 GWD 2 AFR
HG02886 GWD 2 AFR
HG02887 GWD 1 AFR
HG02888 GWD 2 AFR
HG02889 GWD 2 AFR
HG02890 GWD 1 AFR
HG02891 GWD 2 AFR
HG02892 GWD 1 AFR
HG02895 GWD 1 AFR
HG02896 GWD 2 AFR
HG02897 GWD 2 AFR
HG02922 ESN 2 AFR
HG02923 ESN 1 AFR
HG02924 ESN 1 AFR
HG02938 ESN 1 AFR
HG02941 ESN 1 AFR
HG02943 ESN 2 AFR
HG02944 ESN 1 AFR
HG02945 ESN 2 AFR
HG02946 ESN 2 AFR
HG02947 ESN 1 AFR
HG02948 ESN 1 AFR
HG02952 ESN 2 AFR
HG02953 ESN 1 AFR
HG02954 ESN 1 AFR
HG02964 ESN 2 AFR
HG02965 ESN 1 AFR
HG02966 ESN 1 AFR
HG02968 ESN 1 AFR
HG02970 ESN 2 AFR
HG02971 ESN 1 AFR
HG02972 ESN 1 AFR
HG02973 ESN 1 AFR
HG02974 ESN 2 AFR
HG02975 ESN 1 AFR
HG02976 ESN 2 AFR
HG02977 ESN 1 AFR
HG02978 ESN 2 AFR
HG02979 ESN 2 AFR
HG02980 ESN 1 AFR
HG02981 ESN 1 AFR
HG02982 GWD 1 AFR
HG02983 GWD 2 AFR
HG02984 GWD 1 AFR
HG03006 BEB 1 SAS
HG03007 BEB 2 SAS
HG03008 BEB 1 SAS
HG03009 BEB 1 SAS
HG03012 BEB 1 SAS
HG03015 PJL 1 SAS
HG03016 PJL 2 SAS
HG03017 PJL 1 SAS
HG03018 PJL 1 SAS
HG03019 PJL 2 SAS
HG03021 PJL 1 SAS
HG03022 PJL 2 SAS
HG03024 GWD 1 AFR
HG03025 GWD 2 AFR
HG03026 GWD 2 AFR
HG03027 GWD 1 AFR
HG03028 GWD 2 AFR
HG03029 GWD 1 AFR
HG03033 GWD 1 AFR
HG03034 GWD 2 AFR
HG03035 GWD 1 AFR
HG03039 GWD 1 AFR
HG03040 GWD 2 AFR
HG03041 GWD 2 AFR
HG03045 GWD 1 AFR
HG03046 GWD 2 AFR
HG03047 GWD 2 AFR
HG03048 GWD 1 AFR
HG03049 GWD 2 AFR
HG03050 GWD 1 AFR
HG03052 MSL 2 AFR
HG03054 MSL 1 AFR
HG03055 MSL 2 AFR
HG03056 MSL 1 AFR
HG03057 MSL 1 AFR
HG03058 MSL 2 AFR
HG03060 MSL 1 AFR
HG03061 MSL 2 AFR
HG03063 MSL 1 AFR
HG03064 MSL 2 AFR
HG03065 MSL 1 AFR
HG03066 MSL 1 AFR
HG03069 MSL 1 AFR
HG03072 MSL 1 AFR
HG03073 MSL 2 AFR
HG03074 MSL 1 AFR
HG03077 MSL 1 AFR
HG03078 MSL 1 AFR
HG03079 MSL 2 AFR
HG03081 MSL 1 AFR
HG03082 MSL 2 AFR
HG03084 MSL 1 AFR
HG03085 MSL 2 AFR
HG03086 MSL 2 AFR
HG03088 MSL 2 AFR
HG03091 MSL 2 AFR
HG03095 MSL 2 AFR
HG03096 MSL 1 AFR
HG03097 MSL 2 AFR
HG03098 MSL 1 AFR
HG03099 ESN 2 AFR
HG03100 ESN 1 AFR
HG03101 ESN 1 AFR
HG03103 ESN 1 AFR
HG03105 ESN 2 AFR
HG03108 ESN 2 AFR
HG03109 ESN 1 AFR
HG03110 ESN 2 AFR
HG03111 ESN 2 AFR
HG03112 ESN 1 AFR
HG03113 ESN 2 AFR
HG03114 ESN 2 AFR
HG03115 ESN 1 AFR
HG03116 ESN 2 AFR
HG03117 ESN 2 AFR
HG03118 ESN 1 AFR
HG03119 ESN 2 AFR
HG03120 ESN 1 AFR
HG03121 ESN 2 AFR
HG03122 ESN 1 AFR
HG03123 ESN 2 AFR
HG03124 ESN 1 AFR
HG03125 ESN 2 AFR
HG03126 ESN 2 AFR
HG03127 ESN 1 AFR
HG03128 ESN 1 AFR
HG03129 ESN 2 AFR
HG03130 ESN 1 AFR
HG03131 ESN 1 AFR
HG03132 ESN 2 AFR
HG03133 ESN 1 AFR
HG03134 ESN 1 AFR
HG03135 ESN 2 AFR
HG03136 ESN 1 AFR
HG03137 ESN 1 AFR
HG03139 ESN 1 AFR
HG03157 ESN 1 AFR
HG03159 ESN 2 AFR
HG03160 ESN 1 AFR
HG03161 ESN 1 AFR
HG03162 ESN 2 AFR
HG03163 ESN 1 AFR
HG03164 ESN 2 AFR
HG03166 ESN 1 AFR
HG03168 ESN 2 AFR
HG03169 ESN 1 AFR
HG03170 ESN 1 AFR
HG03172 ESN 1 AFR
HG03175 ESN 1 AFR
HG03189 ESN 2 AFR
HG03190 ESN 1 AFR
HG03191 ESN 1 AFR
HG03193 ESN 1 AFR
HG03195 ESN 2 AFR
HG03196 ESN 1 AFR
HG03197 ESN 1 AFR
HG03198 ESN 2 AFR
HG03199 ESN 1 AFR
HG03200 ESN 2 AFR
HG03202 ESN 1 AFR
HG03209 MSL 1 AFR
HG03212 MSL 2 AFR
HG03224 MSL 1 AFR
HG03225 MSL 1 AFR
HG03228 PJL 1 SAS
HG03229 PJL 2 SAS
HG03230 PJL 2 SAS
HG03234 PJL 1 SAS
HG03235 PJL 2 SAS
HG03236 PJL 2 SAS
HG03237 PJL 1 SAS
HG03238 PJL 2 SAS
HG03239 PJL 2 SAS
HG03240 GWD 1 AFR
HG03241 GWD 2 AFR
HG03242 GWD 1 AFR
HG03246 GWD 1 AFR
HG03247 GWD 2 AFR
HG03248 GWD 1 AFR
HG03249 GWD 1 AFR
HG03250 GWD 2 AFR
HG03251 GWD 2 AFR
HG03258 GWD 1 AFR
HG03259 GWD 2 AFR
HG03260 GWD 1 AFR
HG03265 ESN 1 AFR
HG03267 ESN 2 AFR
HG03268 ESN 1 AFR
HG03269 ESN 1 AFR
HG03270 ESN 2 AFR
HG03271 ESN 1 AFR
HG03272 ESN 2 AFR
HG03279 ESN 2 AFR
HG03280 ESN 1 AFR
HG03291 ESN 2 AFR
HG03294 ESN 2 AFR
HG03295 ESN 1 AFR
HG03296 ESN 1 AFR
HG03297 ESN 2 AFR
HG03298 ESN 1 AFR
HG03299 ESN 1 AFR
HG03300 ESN 2 AFR
HG03301 ESN 1 AFR
HG03302 ESN 1 AFR
HG03303 ESN 2 AFR
HG03304 ESN 1 AFR
HG03305 ESN 2 AFR
HG03306 ESN 2 AFR
HG03307 ESN 1 AFR
HG03308 ESN 1 AFR
HG03309 ESN 2 AFR
HG03310 ESN 2 AFR
HG03311 ESN 1 AFR
HG03312 ESN 2 AFR
HG03313 ESN 1 AFR
HG03314 ESN 1 AFR
HG03342 ESN 2 AFR
HG03343 ESN 1 AFR
HG03344 ESN 1 AFR
HG03350 ESN 1 AFR
HG03351 ESN 2 AFR
HG03352 ESN 1 AFR
HG03354 ESN 2 AFR
HG03363 ESN 2 AFR
HG03366 ESN 2 AFR
HG03367 ESN 1 AFR
HG03368 ESN 1 AFR
HG03369 ESN 2 AFR
HG03370 ESN 1 AFR
HG03371 ESN 1 AFR
HG03372 ESN 2 AFR
HG03373 ESN 1 AFR
HG03374 ESN 2 AFR
HG03376 MSL 1 AFR
HG03378 MSL 2 AFR
HG03380 MSL 2 AFR
HG03382 MSL 1 AFR
HG03385 MSL 1 AFR
HG03388 MSL 1 AFR
HG03391 MSL 1 AFR
HG03394 MSL 1 AFR
HG03397 MSL 1 AFR
HG03401 MSL 2 AFR
HG03410 MSL 2 AFR
HG03419 MSL 2 AFR
HG03428 MSL 2 AFR
HG03432 MSL 1 AFR
HG03433 MSL 1 AFR
HG03436 MSL 1 AFR
HG03437 MSL 2 AFR
HG03438 MSL 2 AFR
HG03439 MSL 1 AFR
HG03442 MSL 1 AFR
HG03445 MSL 1 AFR
HG03446 MSL 2 AFR
HG03449 MSL 2 AFR
HG03451 MSL 1 AFR
HG03452 MSL 2 AFR
HG03453 MSL 2 AFR
HG03454 MSL 1 AFR
HG03455 MSL 2 AFR
HG03456 MSL 1 AFR
HG03457 MSL 1 AFR
HG03458 MSL 2 AFR
HG03460 MSL 1 AFR
HG03461 MSL 2 AFR
HG03464 MSL 2 AFR
HG03469 MSL 1 AFR
HG03470 MSL 2 AFR
HG03472 MSL 1 AFR
HG03473 MSL 2 AFR
HG03476 MSL 2 AFR
HG03478 MSL 1 AFR
HG03479 MSL 2 AFR
HG03480 MSL 2 AFR
HG03484 MSL 1 AFR
HG03485 MSL 2 AFR
HG03486 MSL 2 AFR
HG03487 PJL 1 SAS
HG03488 PJL 2 SAS
HG03489 PJL 1 SAS
HG03490 PJL 1 SAS
HG03491 PJL 2 SAS
HG03492 PJL 1 SAS
HG03499 ESN 2 AFR
HG03511 ESN 2 AFR
HG03514 ESN 2 AFR
HG03515 ESN 1 AFR
HG03516 ESN 2 AFR
HG03517 ESN 2 AFR
HG03518 ESN 1 AFR
HG03519 ESN 1 AFR
HG03520 ESN 2 AFR
HG03521 ESN 1 AFR
HG03522 ESN 2 AFR
HG03538 GWD 1 AFR
HG03539 GWD 2 AFR
HG03540 GWD 2 AFR
HG03547 MSL 1 AFR
HG03548 MSL 2 AFR
HG03556 MSL 1 AFR
HG03557 MSL 2 AFR
HG03558 MSL 2 AFR
HG03559 MSL 1 AFR
HG03563 MSL 2 AFR
HG03565 MSL 1 AFR
HG03567 MSL 2 AFR
HG03571 MSL 1 AFR
HG03572 MSL 2 AFR
HG03574 MSL 1 AFR
HG03575 MSL 2 AFR
HG03576 MSL 2 AFR
HG03577 MSL 1 AFR
HG03578 MSL 2 AFR
HG03579 MSL 1 AFR
HG03582 MSL 1 AFR
HG03583 MSL 2 AFR
HG03584 MSL 2 AFR
HG03585 BEB 1 SAS
HG03589 BEB 2 SAS
HG03593 BEB 1 SAS
HG03594 BEB 1 SAS
HG03595 BEB 2 SAS
HG03596 BEB 1 SAS
HG03598 BEB 2 SAS
HG03600 BEB 1 SAS
HG03603 BEB 1 SAS
HG03604 BEB 2 SAS
HG03605 BEB 2 SAS
HG03606 BEB 1 SAS
HG03607 BEB 2 SAS
HG03611 BEB 2 SAS
HG03615 BEB 1 SAS
HG03616 BEB 2 SAS
HG03617 BEB 2 SAS
HG03618 PJL 1 SAS
HG03619 PJL 2 SAS
HG03620 PJL 2 SAS
HG03624 PJL 1 SAS
HG03625 PJL 2 SAS
HG03626 PJL 2 SAS
HG03629 PJL 1 SAS
HG03631 PJL 2 SAS
HG03633 PJL 1 SAS
HG03634 PJL 2 SAS
HG03635 PJL 2 SAS
HG03636 PJL 1 SAS
HG03639 PJL 1 SAS
HG03640 PJL 2 SAS
HG03641 PJL 1 SAS
HG03642 STU 2 SAS
HG03643 STU 2 SAS
HG03644 STU 1 SAS
HG03645 STU 2 SAS
HG03646 STU 1 SAS
HG03649 PJL 1 SAS
HG03650 PJL 2 SAS
HG03651 PJL 1 SAS
HG03652 PJL 1 SAS
HG03653 PJL 2 SAS
HG03654 PJL 1 SAS
HG03660 PJL 1 SAS
HG03663 PJL 1 SAS
HG03667 PJL 1 SAS
HG03668 PJL 2 SAS
HG03669 PJL 2 SAS
HG03672 STU 1 SAS
HG03673 STU 2 SAS
HG03679 STU 1 SAS
HG03680 STU 1 SAS
HG03681 STU 1 SAS
HG03682 STU 1 SAS
HG03683 STU 2 SAS
HG03684 STU 2 SAS
HG03685 STU 1 SAS
HG03686 STU 1 SAS
HG03687 STU 1 SAS
HG03688 STU 1 SAS
HG03689 STU 2 SAS
HG03690 STU 2 SAS
HG03691 STU 1 SAS
HG03692 STU 2 SAS
HG03693 STU 1 SAS
HG03694 STU 1 SAS
HG03695 STU 1 SAS
HG03696 STU 1 SAS
HG03697 STU 1 SAS
HG03698 STU 2 SAS
HG03699 PJL 1 SAS
HG03700 PJL 2 SAS
HG03701 PJL 1 SAS
HG03702 PJL 1 SAS
HG03703 PJL 2 SAS
HG03704 PJL 2 SAS
HG03705 PJL 1 SAS
HG03706 PJL 2 SAS
HG03707 PJL 1 SAS
HG03708 PJL 1 SAS
HG03709 PJL 2 SAS
HG03710 PJL 1 SAS
HG03711 STU 1 SAS
HG03713 ITU 1 SAS
HG03714 ITU 2 SAS
HG03716 ITU 1 SAS
HG03717 ITU 2 SAS
HG03718 ITU 1 SAS
HG03719 ITU 2 SAS
HG03720 ITU 1 SAS
HG03721 ITU 2 SAS
HG03722 ITU 2 SAS
